Timestamp: 2025-04-14 11:06:15
Intersection: cross
Total reward: -7478.00
Epsilon: 0.98
Simulation duration: 79.9s
Avg queue length: 1.81
Cumulative wait time: 9779.00
Fault injected: ❌ No
Total Emergency Delay: 15286.00

Action Distribution:
Action 0: 186 times
Action 1: 190 times
Action 2: 174 times
Action 3: 190 times

Q-Value Log Per Step:
Step 4068 | Action: 3 (exploration)
Step 4082 | Action: 1 (exploration)
Step 4096 | Action: 1 (exploration)
Step 4106 | Action: 1 | Raw Q: [-0.09714680165052414, 0.14553453028202057, -0.044580183923244476, 0.0012562231859192252] | Boosted Q: [-0.09714680165052414, 0.14553453028202057, -0.044580183923244476, 0.0012562231859192252]
Step 4116 | Action: 2 (exploration)
Step 4130 | Action: 2 (exploration)
Step 4140 | Action: 2 (exploration)
Step 4150 | Action: 0 (exploration)
Step 4164 | Action: 1 (exploration)
Step 4178 | Action: 0 (exploration)
Step 4192 | Action: 1 (exploration)
Step 4206 | Action: 3 (exploration)
Step 4220 | Action: 3 (exploration)
Step 4230 | Action: 0 (exploration)
Step 4244 | Action: 0 (exploration)
Step 4254 | Action: 1 (exploration)
Step 4268 | Action: 1 (exploration)
Step 4278 | Action: 2 (exploration)
Step 4292 | Action: 2 (exploration)
Step 4302 | Action: 1 (exploration)
Step 4316 | Action: 2 (exploration)
Step 4330 | Action: 3 (exploration)
Step 4344 | Action: 2 (exploration)
Step 4358 | Action: 3 (exploration)
Step 4372 | Action: 2 (exploration)
Step 4386 | Action: 0 (exploration)
Step 4400 | Action: 3 (exploration)
Step 4414 | Action: 3 (exploration)
Step 4424 | Action: 1 (exploration)
Step 4438 | Action: 3 (exploration)
Step 4452 | Action: 0 (exploration)
